#,Song,Artist,Country of origin,Duration,Genre,Solo or Group
1,Asshole,Denis Leary, United States,4:26,Comedy,Solo
2,Creep,Radiohead, United Kingdom,3:56,Alternative/Indie,Group
3,Linger,The Cranberries, Ireland,4:35,Alternative Rock,Group
4,No Rain,Blind Melon, United States,3:37,Rock,Group
5,Cannonball,The Breeders, United States,3:34,Alternative/Indie,Group
6,Killing in the Name,Rage Against the Machine, United States,5:14,Nu Metal,Group
7,Lemon,U2, Ireland,6:58,Rock,Group
8,Go,Pearl Jam, United States,3:13,Grunge,Group
9,The Honeymoon Is Over,The Cruel Sea, Australia,3:07,Indie Rock,Group
10,Stone Me into the Groove,Atomic Swing, Sweden,4:04,Pop,Group
11,Everybody Hurts,R.E.M., United States,5:20,Rock,Group
12,Plush,Stone Temple Pilots, United States,5:14,Grunge,Group
13,Soul to Squeeze,Red Hot Chili Peppers, United States,4:53,Funk Rock,Group
14,I Held Her in My Arms,Violent Femmes, United States,3:01,Rock,Group
15,Wild America,Iggy Pop, United States,5:45,Punk Rock,Solo
16,Sister Havana,Urge Overkill, United States,3:50,Alternative Rock,Group
17,Hits from the Bong,Cypress Hill, United States,2:41,Hip-Hop,Group
18,Go West,Pet Shop Boys, United Kingdom,5:03,Synth-Pop,Group
19,Trout,Neneh Cherry and Michael Stipe, Sweden/ United States,5:04,Hip-Hop/Rap,Feature
20,Heart-Shaped Box,Nirvana, United States,4:41,Grunge,Group
21,Black Stick,The Cruel Sea, Australia,4:59,Indie Rock,Group
22,The Ship Song (Live),Nick Cave and the Bad Seeds, Australia,4:23,Alternative Rock,Group
23,Human Behaviour,Björk, Iceland,4:12,Art Pop,Solo
24,What's Up?,4 Non Blondes, United States,4:56,Alternative Rock,Group
25,Feed the Tree,Belly, United States,3:29,Alternative Rock,Group
26,Somewhere,Efua, United Kingdom,4:24,,Solo
27,Sober,Tool, United States,5:07,Alternative Metal,Group
28,Are You Gonna Go My Way,Lenny Kravitz, United States,3:32,Rock,Solo
29,All That She Wants,Ace of Base, Sweden,3:33,Pop,Group
30,Constant Craving,k.d. lang, Canada,4:38,Pop,Solo
31,Numb,U2, Ireland,4:21,Rock,Group
32,Jessie,Paw, United States,3:15,Alternative Rock,Group
33,Pets,Porno for Pyros, United States,3:37,Alternative Rock,Group
34,Cantaloop (Flip Fantasia),Us3, United Kingdom,4:39,Jazz-Rap,Group
35,Shoop,Salt-N-Pepa, United States,4:09,Hip-Hop,Group
36,The Right Time,Hoodoo Gurus, Australia,3:54,Rock,Group
37,My Sister,The Juliana Hatfield Three, United States,3:24,Alternative Rock,Group
38,Get Me,Dinosaur Jr., United States,5:52,Rock,Group
39,Friday I'm in Love,The Cure, United Kingdom,3:37,Gothic Rock,Group
40,Push th' Little Daisies,Ween, United States,2:50,Alternative Rock,Group
41,World Turning (Räwak Mix),Yothu Yindi, Australia,3:53,Indigenous,Group
42,Dreams,Gabrielle, United Kingdom,3:45,R&B,Solo
43,Cherub Rock,The Smashing Pumpkins, United States,4:58,Alternative Rock,Group
44,Juice,Headless Chickens, New Zealand,4:02,Rock,Group
45,Start Choppin,Dinosaur Jr., United States,5:40,Rock,Group
46,Detachable Penis,King Missile, United States,3:22,Art Rock,Group
47,Tease Me,Chaka Demus & Pliers, Jamaica,4:06,Reggae,Duo
48,Night of the Wolverine,Dave Graney 'n' the Coral Snakes, Australia,4:46,Rock,Group
49,Bi,Living Colour, United States,4:46,Hard Rock,Group
50,Adam's Ribs,You Am I, Australia,3:55,Alternative Rock,Group
51,Would?,Alice in Chains, United States,3:29,Rock,Group
52,Runaway Train,Soul Asylum, United States,4:27,Alternative Rock,Group
53,Taillights Fade,Buffalo Tom, United States,3:45,Alternative Rock,Group
54,Holy Grail,Hunters & Collectors, Australia,3:47,Rock,Group
55,Alive and Brilliant,Deborah Conway, Australia,4:05,Rock,Solo
56,Can You Forgive Her?,Pet Shop Boys, United Kingdom,3:54,Synth-Pop,Group
57,Choppers (Koppelman Mix),Headless Chickens, New Zealand,3:34,Rock,Group
58,Jesus Was Way Cool,King Missile, United States,2:42,Art Rock,Group
59,"You're Just Too Hip, Baby",Dave Graney 'n' the Coral Snakes, Australia,4:17,Rock,Group
60,Distant Sun,Crowded House, Australia,3:50,Rock,Group
61,Last Train (Master Mix),Christine Anu and Paul Kelly, Australia,4:26,,
62,Easy,Faith No More, United States,3:07,Alternative Metal,Group
63,Scratch My Back,The Sharp, Australia,3:19,Rock,Group
64,Nearly Lost You,Screaming Trees, United States,4:07,Grunge,Group
65,Regret,New Order, United Kingdom,4:08,Alternative Dance,Group
66,Something Good,Utah Saints, United Kingdom,5:57,Electronic,Duo
67,Boom Shack-A-Lak,Apache Indian, United Kingdom,3:50,Reggae,Solo
68,Mr. Vain,Culture Beat, Germany,5:37,Eurodance,Group
69,Animal Nitrate,Suede, United Kingdom,3:26,Pop,Solo
70,Sleepy Head (Serene Machine),Ed Kuepper, Australia,4:00,Rock,Solo
71,Nothingness (Colour Mix),Living Colour, United States,3:50,Hard Rock,Group
72,Baby (You Got in the Way),Barefoot, Australia,3:51,,
